file,dc,section,temp,delay_ps
nor_ff.scs,0.96,ff,0.0,294.125
nor_ff.scs,0.96,ff,50.0,292.925
nor_ff.scs,0.96,ff,125.0,282.99600000000004
nor_ff.scs,0.97,ff,0.0,287.349
nor_ff.scs,0.97,ff,50.0,286.631
nor_ff.scs,0.97,ff,125.0,277.683
nor_ff.scs,0.98,ff,0.0,280.883
nor_ff.scs,0.98,ff,50.0,280.631
nor_ff.scs,0.98,ff,125.0,272.536
nor_ff.scs,0.99,ff,0.0,274.687
nor_ff.scs,0.99,ff,50.0,274.844
nor_ff.scs,0.99,ff,125.0,267.579
nor_ff.scs,1.0,ff,0.0,268.761
nor_ff.scs,1.0,ff,50.0,269.32
nor_ff.scs,1.0,ff,125.0,262.83299999999997
nor_ff.scs,1.01,ff,0.0,263.10200000000003
nor_ff.scs,1.01,ff,50.0,264.00699999999995
nor_ff.scs,1.01,ff,125.0,258.206
nor_ff.scs,1.02,ff,0.0,257.687
nor_ff.scs,1.02,ff,50.0,258.917
nor_ff.scs,1.02,ff,125.0,253.77800000000002
nor_ff.scs,1.03,ff,0.0,252.495
nor_ff.scs,1.03,ff,50.0,254.03
nor_ff.scs,1.03,ff,125.0,249.53199999999998
nor_ff.scs,1.04,ff,0.0,247.50199999999998
nor_ff.scs,1.04,ff,50.0,249.33
nor_ff.scs,1.04,ff,125.0,245.424
nor_ff.scs,1.05,ff,0.0,242.748
nor_ff.scs,1.05,ff,50.0,244.792
nor_ff.scs,1.05,ff,125.0,241.456
nor_ff.scs,1.06,ff,0.0,238.14100000000002
nor_ff.scs,1.06,ff,50.0,240.487
nor_ff.scs,1.06,ff,125.0,237.627
nor_ff.scs,1.07,ff,0.0,233.747
nor_ff.scs,1.07,ff,50.0,236.30800000000002
nor_ff.scs,1.07,ff,125.0,233.93499999999997
nor_ff.scs,1.08,ff,0.0,229.499
nor_ff.scs,1.08,ff,50.0,232.24699999999999
nor_ff.scs,1.08,ff,125.0,230.36599999999999
nor_ff.scs,1.09,ff,0.0,225.416
nor_ff.scs,1.09,ff,50.0,228.34699999999998
nor_ff.scs,1.09,ff,125.0,226.90900000000002
nor_ff.scs,1.1,ff,0.0,221.50900000000001
nor_ff.scs,1.1,ff,50.0,224.60399999999998
nor_ff.scs,1.1,ff,125.0,223.56199999999998
nor_ff.scs,1.11,ff,0.0,217.73399999999998
nor_ff.scs,1.11,ff,50.0,220.983
nor_ff.scs,1.11,ff,125.0,220.34900000000002
nor_ff.scs,1.12,ff,0.0,214.089
nor_ff.scs,1.12,ff,50.0,217.52800000000002
nor_ff.scs,1.12,ff,125.0,217.225
nor_ff.scs,1.13,ff,0.0,210.561
nor_ff.scs,1.13,ff,50.0,214.12699999999998
nor_ff.scs,1.13,ff,125.0,214.199
nor_ff.scs,1.14,ff,0.0,207.179
nor_ff.scs,1.14,ff,50.0,210.871
nor_ff.scs,1.14,ff,125.0,211.275
nor_ff.scs,1.15,ff,0.0,203.909
nor_ff.scs,1.15,ff,50.0,207.744
nor_ff.scs,1.15,ff,125.0,208.437
nor_ff.scs,1.16,ff,0.0,200.761
nor_ff.scs,1.16,ff,50.0,204.672
nor_ff.scs,1.16,ff,125.0,205.68699999999998
nor_ff.scs,1.17,ff,0.0,197.7
nor_ff.scs,1.17,ff,50.0,201.738
nor_ff.scs,1.17,ff,125.0,202.99800000000002
nor_ff.scs,1.18,ff,0.0,194.771
nor_ff.scs,1.18,ff,50.0,198.89
nor_ff.scs,1.18,ff,125.0,200.403
nor_ff.scs,1.19,ff,0.0,191.92
nor_ff.scs,1.19,ff,50.0,196.131
nor_ff.scs,1.19,ff,125.0,197.906
nor_ff.scs,1.2,ff,0.0,189.16899999999998
nor_ff.scs,1.2,ff,50.0,193.462
nor_ff.scs,1.2,ff,125.0,195.46800000000002
nor_ff.scs,1.21,ff,0.0,186.50400000000002
nor_ff.scs,1.21,ff,50.0,190.86
nor_ff.scs,1.21,ff,125.0,193.099
nor_ff.scs,1.22,ff,0.0,183.90699999999998
nor_ff.scs,1.22,ff,50.0,188.353
nor_ff.scs,1.22,ff,125.0,190.798
nor_ff.scs,1.23,ff,0.0,181.407
nor_ff.scs,1.23,ff,50.0,185.927
nor_ff.scs,1.23,ff,125.0,188.563
nor_ff.scs,1.24,ff,0.0,178.96800000000002
nor_ff.scs,1.24,ff,50.0,183.556
nor_ff.scs,1.24,ff,125.0,186.388
nor_ff.scs,1.25,ff,0.0,176.631
nor_ff.scs,1.25,ff,50.0,181.266
nor_ff.scs,1.25,ff,125.0,184.28300000000002
nor_ff.scs,1.26,ff,0.0,174.342
nor_ff.scs,1.26,ff,50.0,179.036
nor_ff.scs,1.26,ff,125.0,182.21900000000002
nor_ff.scs,1.27,ff,0.0,172.13400000000001
